location,Toronto,Toronto,Toronto
lat,43.66653,43.66653,43.66653
lon,-79.68750,-79.68750,-79.68750
asl,211.397,211.397,211.397
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Toronto Temperature [2 m elevation corrected],Toronto Temperature [2 m elevation corrected],Toronto Temperature [2 m elevation corrected]
20220313T0000,0.51657945,-13.48342,-6.412171
20220314T0000,6.5565796,-3.9634204,1.2240795
20220315T0000,1.5365794,-1.3234205,0.15574609
20220316T0000,9.70658,-0.3034206,2.9715796
20220317T0000,18.37658,0.9465794,8.906996
20220318T0000,9.22658,1.8765794,5.0465803
20220319T0000,10.94658,2.4865794,6.5682464
20220320T0000,8.48658,0.19657943,4.153663
20220321T0000,11.36658,-0.7434206,4.82533
20220322T0000,7.3265796,-2.5834205,1.8774129
20220323T0000,2.6065793,-0.9834206,1.013246
20220324T0000,10.89658,1.8065795,7.03158
20220325T0000,6.5065794,0.59657943,3.7132463
20220326T0000,6.0265794,-0.4334206,2.9753294
20220327T0000,-0.40342057,-11.26342,-7.08342
